Tweet	Task A 	Task B	Task C
@realDonaldTrump This daft orange shitgibbon has no clue how tariffs work. China or whatever country doesn't pay for it, the country IMPORTING the product pays for and that is passed right along to the consumer. Tariffs rip even more money out of U.S. consumer's wallets. #FUCKTRUMP #ResignNow	HOF	HATE	TIN
I've met #JackieO, you're no Jackie Kennedy. She had class and dignity. She married a war hero, not a coward or Soviet mole. She wasn't a #Russian whore. #TrumpIsATraitor @FLOTUS @CNN https://t.co/b9iESxXXA0	NOT	NONE	NONE
I don’t get that so many people follow him, is he stil a sports hero in the States ?   #murderer #oj https://t.co/c6N428zVzb	NOT	NONE	NONE
ICC Tournaments and Shikhar Dhawan : The love story continues. #IndvAus #ICCWorldCup2019 #ICC #ICCCricketWorldCup2019 #ICCWC2019 #India #dhawan #IndiaWithDhoni #IndiaStandsWithDhoni #DhoniKeepsTheGlove	NOT	NONE	NONE
I don't support @MamataOfficial but this is too much.Stop doing this nd treat patients. You can protest even while saving lives. You idiots hv made this an ego issue now. Your issues r imp but ppl r dying. Protest while working or during breaks. #DoctorsFightBack #Savethedoctors	NOT	NONE	NONE
Wasn’t there once a sort of understanding that Anglo-Saxon culture had produced a uniquely moderate political nature impervious to extremism? Yeah, so apparently that wasn’t true. #BorisJohnsonShouldNotBePM #ImpeachTrump	NOT	NONE	NONE
First ever book written on violence against doctors and dark side of blue curtain...God in Peril    https://t.co/TtnvCrGmIK    #DoctorsFightBack #DoctorsUnderOppression #DoctorsProtest	NOT	NONE	NONE
@jjrothnc @dcexaminer @KellyannePolls @realDonaldTrump @BarackObama @HillaryClinton May all your kids &amp; grandkids be gay. Evolve as a human being. You support an abomination to God and humankind who has no morality, no human decency and is a #RAPIST.  You need your own soul to be saved.   Depart from me you doers of evil is what #GOD will say to #MAGAts	NOT	NONE	NONE
What a complete babbling #idiotTrump! #MoronInChief @gtconway3d https://t.co/UE2ITKR8r8	HOF	HATE	UNT
@POTUS to @GStephanopoulos the other day, 'No collusion occurred in 2016, but I'm open to it on 2020.' #FactsMatter #TrumpRussia #TrumpIsATraitor #ImpeachmentHearingsNow #LockHimUp #2020PresidentialElection #BlueWave2020 #FBR #Resist	NOT	NONE	NONE
Australian damad is on fire😅#iccworldcup #CricketWorldCup2019 #IndianCricketTeam #Dhoni #DhoniKeepsTheGlove #abvpnec2019 #AajKaMatch #aajtak #BCCI #shikhardhawan #IndianCricketTeam #Worldcup19 #hotstar #virendrashehwag	NOT	NONE	NONE
@RealSkipBayless As usual ,  your wrong. #hack #douchebag	NOT	NONE	NONE
@priyankagandhi said she'll find out workers who didn't work in #Elections2019 This is #Congress culture. Complete failures @RahulGandhi, #PriyankaGandhi @JM_Scindia aren't responsible but common workers are!! Shameless bunch!! #CongressMuktBharat is needed for better #India	HOF	HATE	TIN
@MeckeringBoy Or all of the above, and some. He really does take the term #Dickhead to a new level.	HOF	HATE	TIN
#dickhead. Seriously. https://t.co/0nznUh4myU	NOT	NONE	NONE
@realDonaldTrump Another tRump stooge. Because of enabling #Sheep like that tRump has no shame saying he would break the law right to our faces. Always some tool will come out to defend him  #FuckTrump https://t.co/GWtwUTC12p	HOF	HATE	TIN
@davidaxelrod DOJ does not work to hide FROM the American people they do not work for trump.they are not a trump cover up committee! thats the role GOP holds recently..  #FuckTrump	NOT	NONE	NONE
@realDonaldTrump Stop with the #TrumpTantrum Why are you #NervousDonald is it because you ARE QUILTY OF TREASON? #TrumpIsATraitor #TrumpLiesMatter #TrumpIsAFraud the world is watching #TrumpCrimeSyndicate #TrumpCriminalInvestigations will happen! #TrumpIsNotAboveTheLaw	HOF	OFFN	TIN
Disappointing!! Years of planning and yet they failed in organising the world's most important cricket event!! #ShameOnICC Shouldn't have held the event in this season!! https://t.co/VzAuPFIEhO	NOT	NONE	NONE
This is what your country will soon look like if you EVER let #China in-in any way‼️Finance/joint ventures/land ownership/infrastructure or 5G‼️Yes they own HK but we got complacent while Britain had it’s 99 year lease-this is no longer the #HongKong we knew!💔💔💔#BoycottChina🇨🇳 https://t.co/lyHbzpseOZ	NOT	NONE	NONE
#Savethedoctors   #DoctorsFightBack   No security, no service. Still after 5 days authority has failed to assure the security at government hospitals. They are responsible for this unforeseen collapse of the health skeleton of WB. @narendramodi ji, @PMOIndia,   kindly intervene.	NOT	NONE	NONE
@TheRealOJ32 #STFU #murderer we really just wish you would disappear and get out of the public arena. People in your life may be too scared of you, and all the star struck ass kissers may not care, but most of us do. Are you too stupid to notice?!! #NeverForget #Nicolesimpson #RonGoldman	HOF	HATE	TIN
Seriously? You live in a different reality than the rest of America. #ImpeachTrumpNow #nokidsincages #NoWarWithIran #TrumpisaLiar #TrumpIsATraitor https://t.co/LqT90KGpOX	NOT	NONE	NONE
@GovPhilScott Except now we kill them in the womb up until birth. What is wrong with you?! #RINO #BABYKILLER #MURDERER #GODLESS #GUTLESS #CCOT #TCOT	HOF	OFFN	TIN
@ICC deserves this #cup in this #WorldCup2019 for their #Pathetic show. Instead of wasting time on #Dhoni's #Gloves they should have planned better on their own part! @SGanguly99 @sachin_rt @RahulDravidFC @YUVSTRONG12 @virendersehwag #ShameOnICC #ShameShameICC #cricketlive https://t.co/UhTvu8q2Pj	NOT	NONE	NONE
@MamataOfficial You r the first CM of a State who became the Satan &amp; villain of entire country by humiliating the entire medical fraternity by calling the Doctors protesting against the murderous assault on their colleague as criminals. Shame. #DoctorsFightBack	HOF	OFFN	TIN
This is not the first time it has happened to us..we are facing this for long..numerous incidents go unrecognised in each and every part of our country due to lack of support.. Enough is Enough.. Stand strong.. Stay united.. show your strength💪 #DoctorsFightBack #savethedoctor	NOT	NONE	NONE
Trump a national security threat.  Trump a disgusting SOB. Trump a national embarrassment.   Trump a treasonous traitor.    Trump a delusional piece of shit, whom only a handful of deplorables like.  Trump a treasonous traitor. #TrumpIsATraitor #ImpeachTrumpNow https://t.co/Dyzg7iJa95	HOF	OFFN	TIN
How can I be sure this stolen credit card is any good if I don't use it to buy a porn star an expensive dinner?' #TrumpIsATraitor #TrumpCrimeFamily #ImpeachTrumpNow	NOT	NONE	NONE
@mitchellvii @realDonaldTrump 1) Trump didn't win the election.  2) Trump nor Obama have helped the economy.   3) Mexico is not helping Trump. They are preparing for a war against the U.S.  #FuckTrump #NotOurPresident	NOT	NONE	NONE
@RealRandallPink Would you expect anything less from a #PathologicalLiar, no not me... #FuckTrump https://t.co/iSUcEuH6hp	HOF	OFFN	TIN
Coming from a guy he grew up in 70’s and loving the NFL @TheRealOJ32  - just GO AWAY !! You should be behind bars #shameful #guilty #MURDERER https://t.co/Kiw6C0MoOR	HOF	HATE	TIN
Yes true we do not any favour from #terroristNationPakistan . https://t.co/pktSraojKg	HOF	HATE	TIN
@realDonaldTrump America NEEDS a new President ASAP... Trump is a DISASTER... Has been getting worse and worse!!!! #TrumpIsATraitor #GuiltyAsSin #WhoreMonger #LiarInChief #DerangedDonald #BillionDollarLoser #LowIQTrump #DraftDodger #PresidentBoneSpurs #AryanAgentOrange #NervousDonald	HOF	OFFN	TIN
@realDonaldTrump You are Horrible! #TrumpIsATraitor #TrumpIsAFraud #TrumpIsADictatorWannabe #WakeUpAmerica	HOF	OFFN	TIN
We all need doctors, #MamataBanerjee is forgetting that! Attact on the doctors in #westbengal on her directions are shamful acts. #MamataFrustrated #DoctorsFightBack	NOT	NONE	NONE
@DonaldJTrumpJr Your father has no brain function. Any opinion on that? #FUCKTRUMP #25thAmendmentNow	HOF	OFFN	TIN
Sat downstairs watching tv, daughter’s in bed upstairs. 4yo:”Blankie. Blankie. Blankie, where are you?” Me (shout up the stairs): “Babe. You do know it won’t come if you call it?” Hubby: “you’re a dick.” #dickhead #kids #mumblog #blanket	HOF	HATE	TIN
🎉 Party time! For Trump's birthday, we're celebrating 'John McCain Day!' Such a wonderful idea @realDonaldTrump! So selfless you are!     McCain was such an incredible &amp; brave war hero. Let's all admire his beautiful ship, the USS John S. McCain!     #McCainDay   #TrumpIsATraitor https://t.co/I9IYqOfDD5	NOT	NONE	NONE
Happy #JohnMcCainDay @realDonaldTrump   #douchebag	NOT	NONE	NONE
@AlanCol83626003 @Yellowbelly2019 It will be a bigly war. He has the best wars. Nobody has better wars.  #fucktrump	NOT	NONE	NONE
The arrogance of a chief minister is the reason that the #DoctorsProtest has escalated so much. It's a lesson to those in power that they can be brought down to their knees if they continue with a high handed approach towards workplace safety concerns of people #DoctorsFightBack https://t.co/7OmL8orLfq	NOT	NONE	NONE
@Tazaryach Home of the #douchebag.	NOT	NONE	NONE
Berman: Is it even news when the President lies? #Resist #ResistTrump #FuckTrump https://t.co/NMm3N6NFsL	NOT	NONE	NONE
There was a time when @billmaher was the 'outside the box' in his thinking. It's a shame seeing what you have become since 2016. You are wrong about Biden and need to stop sounding like a whiny little bitch when talking about him.   #wheresbill #BillMaher #FuckTrump #2020Election	HOF	HATE	TIN
Hey! I'm just stoked! It's #JohnMcCainDay!!! He used to be SO FUNNY some times. Full of life and such an honorable man! He would never believe the horrors that are happening in just the short time since he passed away.@MeghanMcCain @TheView #TrumpIsATraitor   @BarackObama #Biden https://t.co/AVxUeOJK1G	NOT	NONE	NONE
when you think so do a little calculation &amp; get your facts correct. In case you fail to do that, don't comment. #SAVETHESAVIOUR #DoctorsFightBack #standwithNRS #Savethedoctors	NOT	NONE	NONE
Russian college drop out, fold out model &amp; escort, really not even... what a laugh to even assume this #Russian compares 2 anything but a street walker with @realDonaldTrump as her pimp! #NoMiddleGround #TrumpIsATraitor #Securityclearence #Resist https://t.co/HyeCUeECZj	HOF	OFFN	TIN
@TheRealOJ32 welcome! If you start having chest pains please remember to start filming so we can all enjoy the show in case you croak. #murderer	HOF	OFFN	TIN
No any individual message or logo to be displayed on any items of clothing or equipment - #ICC  #CWC19  #DhoniKeepTheGlove  #DhoniKeepsTheGlove  https://t.co/KKL81KrnbH	NOT	NONE	NONE
@OwenJones84 nailing it again #BorisJohnsonShouldNotBePM https://t.co/z46D0WcdWA	NOT	NONE	NONE
@ACTBrigitte Our country deserves better than a draft-dodging coward. McCain SERVED; #CadetBoneSpurs DIDN'T. #FuckTrump Happy #JohnMCainDay!!! Happy #JohnMCainDay!!! Happy #JohnMCainDay!!!	NOT	NONE	NONE
I swear that is the happiest expression i have ever seen on his face. #TrumpIsADisgrace #TrumpisaTraitor https://t.co/xSYOF2MDiA	NOT	NONE	NONE
LEADERSHIP CONTEST    If I were Boris I'd l steer clear. Let the BBC suck these neverwozzers into slagging each other off on TV &amp; turning it into a media circus. It's what they're good at.  #BorisJohnsonShouldNotBePM  #leadershiphustings https://t.co/F2XDb1h2oE	HOF	HATE	TIN
Some people, by way of association (and assassination), die quicker than they should. Whereas we foretold a mighty dragging, her dragging ended in her death. Yes, she will die -- never be the same again. #dirtyniggr #markbathompson #blight #demon #murderer #thief #nataliewatts	HOF	HATE	TIN
Rain will win, as weather is happy like pakistan to avoid thrashing.  #INDvsPAK   #CWC19   #ShameOnICC   Poor management and stubborn guidelines of @ICC   #CricketWorldCup2019 https://t.co/ElonYHSaGs	NOT	NONE	NONE
Ginni Thomas Plans New Conservative Supergroup to “Protect President Trump” #Resist #ResistTrump #FuckTrump https://t.co/jEQBBD6ACv	NOT	NONE	NONE
Life is easy for none...but have faith every pain will be justified one day. #SaturdayMotivation #SaturdayMorning #SaturdayThoughts #saturdayvibes #saturdays #DhoniKeepsTheGlove #DhoniKeSaathDesh #IndiaWithDhoni #MotivationalQuotes #motivational #ThoughtOfTheDay #India #Jaipur https://t.co/sVjmJw2pZK	NOT	NONE	NONE
Here’s another.... #borisbehindbars #borisjohnson #BorisJohnsonShouldNotBePM @BorisJohnson_MP @BorisJohnson @Conservatives https://t.co/eXnsmZbUAn	HOF	OFFN	TIN
Shame on @Uppolice …..There should be an honour killing organized to cut throats of these mental @Uppolice officers &amp; #MafiaCM &amp; #Murderer @myogiadityanath ……..may Human Urine fall on yogi's mouth &amp; on upPolice b4 GauMutra….❗️❗️‼️	HOF	OFFN	TIN
NYT: “Ms. Conway’s violations... Her actions thus erode the principal foundation of our democratic system — the rule of law.” BLOB: that’s Trump’s intent. https://t.co/biLqop4mku #resist #TrumpIsATraitor	NOT	NONE	NONE
I guess you can't be too rich, or too thin, or commit treason too many times.   https://t.co/gDB7orm4J1 #TrumpIsATraitor	NOT	NONE	NONE
@TheRynheart Bad enough they choose to work for a #rapist, but if they're also #TRAITORtrump supporters, they're useless.	HOF	OFFN	TIN
#Kashmir  Another jolt to #Pakistan  India decided not to use  #Pakistani air space but  Go over Oman to Bishek.    #terroristNationPakistan  #Modi  #Pulwama    https://t.co/DOmFhIewDn	HOF	HATE	TIN
Hey @realDonaldTrump just wanted to wish you a HAPPY #JohhMcCainDay You fucking disgrace! #FakePresident #FuckTrump	HOF	HATE	TIN
@ICC #DhoniKeepsTheGlove     sir Ms dhoni carrion play the same gloves you not break any #icc rules We all Indian support you #DhoniKeSaathDesh	NOT	NONE	NONE
#DhoniKeepsTheGlove in #ICCWC2019 you are our real Hero #Dhoni #DhoniKeSaathDesh Hai #dhoniisback Now. https://t.co/Y4yw71oJzx	NOT	NONE	NONE
In 2007 Boris Johnson described the anointment of Gordon Brown as PM following a Labour leadership election as a 'gigantic fraud', a 'scandal' and a 'stitch-up'. Johnson now hopes to become PM by exactly the same method.    #Boris #BorisJohnson #BorisJohnsonShouldNotBePM https://t.co/neAG7q98it	HOF	HATE	TIN
#StopBorisJohnsonBecomingPM it legit angers the sh!t out of me that the British Public don’t get to decide who we want in charge of OUR Country. @BorisJohnson isn’t fit to clean the step of #10 Downing Street let alone live in it! #BorisJohnsonShouldNotBePM	NOT	NONE	NONE
#IdiotTrump has complete meltdown after someone coughs - https://t.co/OAZH2ghTOP	HOF	OFFN	TIN
Vigilantes Helped Steve Bannon’s Group With Private Border Wall Near El Paso #Resist #ResistTrump #FuckTrump https://t.co/vFmZgeb5CI	NOT	NONE	NONE
I heard Sleepy Joe Biden has been insulting me on the trail. What a loser! He hasn’t even BANKRUPTED 18 companies yet! #sad #MAGA #resist #Resistance #FuckTrump https://t.co/Gpb2mSSOM9	HOF	OFFN	TIN
Save the saviour - #DoctorsProtest   Get it @ https://t.co/yu8miSJDm9  Its time to save the saviours- wear this tshirt and join the doctors strike india. Join doctor strike bengal. doctor protest, doctors protest  #DoctorsFightBack #DoctorStrike https://t.co/LM79jtCph7	NOT	NONE	NONE
Very poor management by @ICC   People have waited 4years for this extravaganza and this is how we get treated #ShameOnICC	NOT	NONE	NONE
#doctors_against_assualt #DoctorsFightBack #DoctorStrike While Doctors are at strike, please read on why do we take Hippocratic Oath not Sushruta, why does his 'wet-cold-dry-hot' look like 'vata-pitta-kabha+others' in Ayurveda?	NOT	NONE	NONE
This truly is a crisis and, worst part is, his delusional admirers will probably never know. They'll just blame everyone else for his stupidity, fear mongering, hate, greed and lies. #FuckTrump	NOT	NONE	NONE
@RWPUSA @LadyGloriousjax What up, Xi? #FuckTrump	NOT	NONE	NONE
I don’t understand how is a military insignia being equated with prayers being offered on the field? I understand if you want to #DhoniKeepsTheGlove but don’t bring in prayers into this controversy.    Also, like Vinod Rai said, “It’s a non-issue.” Let it be like that. Please.	NOT	NONE	NONE
Report: NRA Has Been Directing Money to Board Members Who Oversee Its Spending #Resist #ResistTrump #FuckTrump https://t.co/05OL7rxHkT	NOT	NONE	NONE
Sad. @realDonaldTrump bday unable to match Twitter support for these more popular hashtags:  #TrumpIsATraitor   #ImpeachTrumpNow   #ImpeachDonaldTrumpNOW   #ImpeachDonaldTrump   #ImpeachTrump   #ImpeachmentInquiryNow  Because these ARE our b-day wishes for you.  #TrumpForPrison2020 https://t.co/IOb5tI7S5r	NOT	NONE	NONE
This very day. I can’t understand it. #fucktrump https://t.co/85Erj9e0O7	NOT	NONE	NONE
#DhoniKeepsTheGlove #DhoniKeepTheGlove #DhoniKeepTheGloves Hey @ICC , Hypocrisy ki bhi koi sima hoti h! This is NOT This is Violation of Violation of Rules Rules https://t.co/pRWW3cpMXe	NOT	NONE	NONE
Hey @realDonaldTrump: #Norway is calling. They say you’re a #douchebag	HOF	HATE	TIN
@MSNBC Too late.....  #TrumpIsATraitor   #ImpeachTrumpNow   #ImpeachmentInquiryNow	NOT	NONE	NONE
#Peace and #Liberty for #Uyhgur ! #PleaseHelp #FreeUyghur #SaveUyghur #MeTooUyghur #PrayForUyghur #EastTurkistan #FreedomForEastTurkistan #Turkistan #Freedom #HumanRights #China #CCP #Genocide #StopChina #BoycottChina #StopGenocideChina #ウイグル #RT https://t.co/NqNqUGjffN	NOT	NONE	NONE
Everyone is Waiting for Bhumrah to Bowl.  I am waiting for Dhoni to keep.  #INDvsAUS  #IndiaWithDhoni  #DhoniKeepsTheGlove  #ICCWorldCup2019	NOT	NONE	NONE
Only gone and done it again #dickhead	HOF	HATE	UNT
So why hasn’t it?  #FuckTrump #OrangeFoolius #BeBest #MAGA #AmericaFirst https://t.co/SwkgQAWyYR	NOT	NONE	NONE
Does this lady look Normal ?#PakvsInd #PAKvIND #PakVsIndia #NDTV #Bengal @KailashOnline @SuPriyoBabul @MukulR_Official #DoctorsProtest #DoctorsStrike #DoctorsUnderOppression #DoctorStrike @aajtak @republic @Republic_Bharat #DoctorsFightBack https://t.co/F5t59hLfgE	NOT	NONE	NONE
No #termsandconditions #minor should apply on a #rapist #tobehanged !! #womenempowerment #womensrights #culturevulture #culture #freedom #likeforlikes #followforfollowback @ India https://t.co/DhxYPxsy5e	NOT	NONE	NONE
I often hear Tories muse, Johnson as PM “will cheer everyone up”. When your party looks like it is going to hell in a handcart, they reckon you might as well hurtle towards the inferno with a smile on your face' #BorisJohnsonShouldNotBePM https://t.co/h1ubnKw6OU	NOT	NONE	NONE
Rather than worrying about @msdhoni gloves , maybe check the Stumps ! @ICC  @BCCI   #ICCWorldCup2019 @StarSportsIndia   #AskStar #DhoniKeepsTheGlove #BCCI #ICC   #AskTheExpert  What can be done here ?	NOT	NONE	NONE
Because he is Worthy😇  #IndiaStandsWithDhoni #DhoniKeepsTheGlove https://t.co/sJVLDVfbxa	NOT	NONE	NONE
@MarkDice Exactly. #Douchebag	HOF	HATE	TIN
@POPSUGAR Complete #DoucheBag	HOF	HATE	TIN
As per @MamataOfficial doctors on West Bengal will now onwards have to write medical prescriptions in Bengali. Does not matter if the handwriting makes it look like Tamil. #DoctorsFightBack	NOT	NONE	NONE
@realDonaldTrump Lol. You wish. #ImpeachmentInquiryNow #TrumpNatSecRisk #TrumpIsATraitor #TrumpColluded #TrumpObstructed @WhiteHouse #BillionDollarLoser https://t.co/AjI97LZBqm	NOT	NONE	NONE
Alabama woman claims court is letting her #rapist uncle see their kids https://t.co/2o7hidetvy via @MailOnline	NOT	NONE	NONE
#DoctorsProtest #doctorsstrike #DoctorsFightBack SAME COUNTRY, DIFFERENT STATE, DIFFERENT POLITICAL PARTY, SAME TREATMENT WITH #Doctors #DoctorsFightBack IN #WestBengal SHOULD HAVE FOUGHT BACK IN #UttarPradesh TOO https://t.co/yTM9H6CsH4	NOT	NONE	NONE
@ICC Yes it is better but by the way #ShameOnICC https://t.co/GtDfAcKLcD	NOT	NONE	NONE
#ICC treat everyone with same rule. If you can this then how can you ask dhoni not to put sacrifice badge on gloves. #DhoniKeepsTheGlove https://t.co/ocprBQV3lS	NOT	NONE	NONE
@DrNajeeb sir, please can you support us on our movement condemning the attacks on doctors and convincing government to bring stringent laws against such assaults in India. Your message will be helpful! #savedoctors #DoctorsFightBack	NOT	NONE	NONE
@ICC Everyone waited for 4 years to see the England Rains , what a proud moment 👏 #ShameOnICC	NOT	NONE	NONE
All CAMERAs on The #Gloves now... Will #INDvAUS be with #BalidanBadge Glove or it will be #Balidan of Feelings of #MSDhoni #DhoniKeepsTheGlove OR #ICC prevails... #CWC19 #ICCWC2019 Jo bhi ho All #india wants is Victory in #AUSvIND match... #IndiaWithDhoni #MenInBlue	NOT	NONE	NONE
#ICC: Objection my lord.  #BCCI: Overruled.  #DhoniKeepsTheGlove 😂	NOT	NONE	NONE
BJP MP Ananth Kumar Hegde caught on camera beating up doctor at Karnataka hospital https://t.co/OhxJqT5N0w #Savethedoctors #DoctorsProtest #DoctorsFightBack #DoctorsStrike	NOT	NONE	NONE
@RoflGandhi_ People said #DhoniKeepsTheGlove   He kept it but without the Logo https://t.co/6bJhXiPTVD	NOT	NONE	NONE
Hey, it's #JohnMcCainDay! Also, #FuckTrump.	NOT	NONE	NONE
@realDonaldTrump Market crash or cultural death of America?  I choose taking my chances with a market crash!  You are obviously in a panic 18 months ahead of the election! Bad place to be so early!  #Trump #Trump2020 #MAGA #TrumpIsATraitor	NOT	NONE	NONE
@ICC @cricketworldcup @ICCMediaComms @msdhoni @virendersehwag @imVkohli dear ICC you can stop dhoni bhai but how u gonna stop us focus on your umpires not our players #DhoniKeepsTheGlove #ICCWorldCup2019 #Dhoni #DhoniKeSaathDesh @BCCI @BCCIdomestic 🇮🇳🇮🇳🇮🇳🇮🇳 https://t.co/OvK0aSXLjY	NOT	NONE	NONE
How You Can Tell Barr Is Lying About Mueller’s Evidence #Resist #ResistTrump #FuckTrump https://t.co/K3MAsCNF35	NOT	NONE	NONE
Homophobia and transphobia are CRIMES in 43 countries. Yet here in America, under the Trump administration, it’s seemingly encouraged. We need CHANGE. VOTE BLUE FOR 2020. #FuckTrump	NOT	NONE	NONE
Dear @ICC what about players offering namaz on field or urinating on field after the match.? @msdhoni did not do anything wrong. #DhoniKeepsTheGlove	NOT	NONE	NONE
We are always with you mahi bhai don't remove your glove. #DhoniKeepsTheGlove	NOT	NONE	NONE
@ICC should have so many better options to stop rain 😁 ,But they are not willing to doing anything.#ShameOnICC https://t.co/gaKtXNUZVi	NOT	NONE	NONE
#DoctorsFightBack 👌 The Kurban Shah case, points out a police officer &amp; a political controversy when it was alleged that rival factions of the ruling #TMC each trying to gain control over the organisation of junior doctors (to garner votes for election to state medical bodies)	NOT	NONE	NONE
Saw this and instantly thought of @mrjasonaalon and @fever333 🙌🏽 #fucktrump https://t.co/4rCvqrZiPx	NOT	NONE	NONE
Saying @Conservatives are England team - they may play for different clubs but they come together for England say @michaelgove. Only problem with that analogy is that @BorisJohnson refuses to attend training+expects to be made captain. #Eton privilege? #BorisJohnsonShouldNotBePM https://t.co/4NySvWv5hP	NOT	NONE	NONE
When #INDvsPAK played last #OneBillion people watched. If it rains on Sunday, it's gonna be a huge loss to @ICC (financially). What a poor planning @cricketworldcup!!! #CWC19 #ICCWorldCup2019 #ShameOnICC https://t.co/xswwoqGrst	NOT	NONE	NONE
#RandalWilliams is a #RAPIST  who heads #Missouris Health Dept &amp; MANDATED unnecessary pelvic exams 4 women seeking abortions.	NOT	NONE	NONE
@NRATV @DLoesch U should be filmed while u are made to walk through a the scene of a mass shooting where dead children are present, uncovered, bodies torn apart by guns, and, tell us all about your belief in profit before life. #murderer	NOT	NONE	NONE
#ICC says #MSDHONI cannot wear 'army logo' gloves' #IndianArmy #BalidaanBadge #DhoniKeepsTheGlove #CricketWorldCup2019 https://t.co/Q14AJvQjdr	NOT	NONE	NONE
#ShameOnICC poor planning or intentional deliberate choices ? Maybe next time participate in IPL planning 😂	NOT	NONE	NONE
This is not an isolated event, it's happening in every medical college. Stop consuming yellow journalism. #DoNotQuestionOurHumanity #DoctorsProtest #DoctorsFightBack #DoctorsUnderOppression	NOT	NONE	NONE
@The_JJAllen @BettyBowers 'Replied to a tweet saying something akin to ' oh yeah'   Bullshit i did . I said politely they are as fucked as each other .  So what is your next reply chief ?  OR are you the Perennial victim of oppression ? #dickhead	HOF	HATE	TIN
@wingmanmike @KellyannePolls @POTUS @realDonaldTrump Certainly his last as a free man. 😁    #TrumpIsATraitor	NOT	NONE	NONE
AIIMS Issues 48 Hours Ultimatum To CM Mamata Banerjee https://t.co/5AWfsq3F5J @AITCofficial @MamataOfficial #DoctorsFightBack #AIIMS https://t.co/GBhMK64sAv	NOT	NONE	NONE
#DhoniKeepsTheGlove or just write India on gloves but don't change gloves.	NOT	NONE	NONE
@Dar_Thatcher @Debi129 Ivanka Voting Machines coming to a location near you. This truly is the upside done. #FucktRump	NOT	NONE	NONE
Allen Solly Men's Polo @ Rs.599 https://t.co/ZaqlLyOEe7 #DoctorsFightBack #SaveBengal #amazon #flipkart #deals #dealoftheday #amazingdeals #offers #discount #JaiShreeRam #ModiForAll	NOT	NONE	NONE
God I miss 44 #fucktrump #waytogivethanks #culvercity #california #greattribute #greatpresident #obama #44 #myreasontosmile #trumpwillnevergetmyvote #nostreet #foryou #incali #jackass #california #missesobama #gone… https://t.co/nOmxDE4Tgm	NOT	NONE	NONE
India vs Australia match analysis and preview https://t.co/sWOobxHWE0  #EngvBan #ENGvPAK #bangladesh #INDvAUS #DhoniKeepTheGlove #DhoniKeepsTheGlove #TeamIndia	NOT	NONE	NONE
@ICC should allow ms dhoni to keep glove. It is attached with indian people emotion. @BCCI #indiafirst #DhoniKeepTheGlove #DhoniKeepsTheGlove #Dhoni #DhoniAtCWC19 #DhoniKeepBalidaanBadgeGlove https://t.co/YavugaryBf	NOT	NONE	NONE
#DoctorsFightBack | The Debate with Arnab is now #LIVE, on air and online. Watch it here - https://t.co/LGCyJUEBn5	NOT	NONE	NONE
Trump Is Urged to Fire Kellyanne Conway for Hatch Act Violations #Resist #ResistTrump #FuckTrump https://t.co/S9v9z9wCxu	NOT	NONE	NONE
This - is - remarkable.     #TrumpIsATraitor #TrumpMustGo #TrumpMustResign Happy #JohnMcCainDay https://t.co/MTeMDl4hIZ	NOT	NONE	NONE
@ericswalwell Have you moved from 0% chance to at least 1% in the polls as a result of this very pathetic ad?? 😂 You keep embarrassing yourself time after time, it’s priceless! #douchebag 🤡🤡	NOT	NONE	NONE
@MamaMadisons First a tattoo saying #rapist on his forehead.	NOT	NONE	NONE
Dear Drs and Non Medico Friends Please Keep twitting about WB Doctors plight with #Savethedoctors #DoctorsFightBack and tag @narendramodi @PMOIndia . As it’s weekend don’t allow the movement to weaken. It has to reach higher authority to take strong action.	NOT	NONE	NONE
@realDonaldTrump @POTUS @DonaldJTrumpJr  #pedophiles #rapist with money can commit even murder and never face any consequence. https://t.co/8PXV2tG0wC	NOT	NONE	NONE
Four years we wait to watch how it rains in England and how poor #ICC is, unable to cover the grounds. #ShameOnICC #WorldCup2019	NOT	NONE	NONE
...where they would be reunited in 2003 when Dad passed from esophageal cancer. He gave that 'champion purebred mutt' 13 yrs. he never would've had. After a nine-year break, they were now together eternally. Rest well, Fredzino. And oh yeah - #FuckTrump. #JohnMcCainDayJune14	NOT	NONE	NONE
MY THOUGHTS ON #BORISJOHNSON #BorisJohnsonShouldNotBePM https://t.co/5AIpBOYyYY	NOT	NONE	NONE
#etsy shop: Trump Nixon Covfefe and the Crook President T-Shirt https://t.co/GGe44Hd1OZ #clothing #shirt #trump #nixon #president #protest #impeach #resist #fucktrump #taxday #MuellerReport #LindseyGraham #BarrHearing #BarrLied #BarrCoverUp #ImpeachBarrAndtRump #ImpeachTrumpNow https://t.co/2Acrf5a6G1	NOT	NONE	NONE
@ICC Respect India. #DhoniKeepTheGlove #DhoniKeepsTheGlove #KeepTheGlove	NOT	NONE	NONE
#PakInsultsAbhi @KirenRijiju comes across a very weak minister he gave lip service on #DhoniKeepsTheGlove n we were left red faced while our cricketing grates @sachin_rt etc keeps mum wants money that's it. There was so much of talk abt boycott Pak nothing happened @AmitShah https://t.co/OBIGjbOW0D	NOT	NONE	NONE
Weather forecast is very much advanced now, driverless car is just coming nd @ICC is relying on techniques of 2000 bc #ShameOnICC	NOT	NONE	NONE
Smdh, #Resist #DitchMitch #DitchMitch2020 #fucktrump #VoteBlue2020 #VoteBlueNoMatterWho  EPA Air Chief Gave Presentation At Fringe Climate Denier Event, New Emails Show  https://t.co/axDBOOjZVN	NOT	NONE	NONE
